2025-06-12 10:31:37,986 INFO    MainThread:52672 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2025-06-12 10:31:37,987 INFO    MainThread:52672 [wandb_setup.py:_flush():79] Configure stats pid to 52672
2025-06-12 10:31:37,987 INFO    MainThread:52672 [wandb_setup.py:_flush():79] Loading settings from C:\Users\stuberadmin\.config\wandb\settings
2025-06-12 10:31:37,987 INFO    MainThread:52672 [wandb_setup.py:_flush():79] Loading settings from c:\Users\stuberadmin\fos\notebooks\wandb\settings
2025-06-12 10:31:37,987 INFO    MainThread:52672 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2025-06-12 10:31:37,987 INFO    MainThread:52672 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2025-06-12 10:31:37,987 INFO    MainThread:52672 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2025-06-12 10:31:37,987 INFO    MainThread:52672 [wandb_setup.py:_flush():79] Applying login settings: {}
2025-06-12 10:31:37,987 INFO    MainThread:52672 [wandb_init.py:_log_setup():533] Logging user logs to c:\Users\stuberadmin\fos\notebooks\wandb\run-20250612_103137-0d0zo6qm\logs\debug.log
2025-06-12 10:31:37,987 INFO    MainThread:52672 [wandb_init.py:_log_setup():534] Logging internal logs to c:\Users\stuberadmin\fos\notebooks\wandb\run-20250612_103137-0d0zo6qm\logs\debug-internal.log
2025-06-12 10:31:37,987 INFO    MainThread:52672 [wandb_init.py:init():619] calling init triggers
2025-06-12 10:31:37,987 INFO    MainThread:52672 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {'sparsity_penalty': 0.01, 'num_factors': 8, 'elastic_net_frac': 1.0, 'max_num_iters': 25, 'num_coord_ascent_iters': 1, 'mean_func': 'softplus', 'initialization': 'nnsvd', 'data_file': '\\\\10.159.50.7\\LabCommon\\Ken\\data\\Opioid_cFos\\result\\unbiased_adjusted_brain_heatmap', 'mask_key': 0, 'mask_size': 20, 'num_mask_per_mouse': 3}
2025-06-12 10:31:37,987 INFO    MainThread:52672 [wandb_init.py:init():644] re-initializing run, found existing run on stack: mfmsshau
2025-06-12 10:31:37,988 INFO    MainThread:52672 [wandb_run.py:_finish():2155] finishing run ken1223-university-of-washington/morphine-fos-seminmf-counts/mfmsshau
2025-06-12 10:31:37,989 INFO    MainThread:52672 [jupyter.py:save_history():459] not saving jupyter history
2025-06-12 10:31:37,989 INFO    MainThread:52672 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2025-06-12 10:31:37,989 INFO    MainThread:52672 [wandb_init.py:_jupyter_teardown():461] cleaning up jupyter logic
2025-06-12 10:31:37,989 INFO    MainThread:52672 [wandb_run.py:_atexit_cleanup():2420] got exitcode: 0
2025-06-12 10:31:37,989 INFO    MainThread:52672 [wandb_run.py:_restore():2402] restore
2025-06-12 10:31:37,990 INFO    MainThread:52672 [wandb_run.py:_restore():2408] restore done
2025-06-12 10:31:39,809 INFO    MainThread:52672 [wandb_run.py:_footer_history_summary_info():3960] rendering history
2025-06-12 10:31:39,809 INFO    MainThread:52672 [wandb_run.py:_footer_history_summary_info():3992] rendering summary
2025-06-12 10:31:39,812 INFO    MainThread:52672 [wandb_run.py:_footer_sync_info():3921] logging synced files
2025-06-12 10:31:39,816 INFO    MainThread:52672 [wandb_init.py:init():669] starting backend
2025-06-12 10:31:39,816 INFO    MainThread:52672 [wandb_init.py:init():673] sending inform_init request
2025-06-12 10:31:39,817 INFO    MainThread:52672 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2025-06-12 10:31:39,818 INFO    MainThread:52672 [wandb_init.py:init():686] backend started and connected
2025-06-12 10:31:39,820 INFO    MainThread:52672 [wandb_run.py:_label_probe_notebook():1339] probe notebook
2025-06-12 10:31:39,822 INFO    MainThread:52672 [wandb_init.py:init():781] updated telemetry
2025-06-12 10:31:39,851 INFO    MainThread:52672 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2025-06-12 10:31:40,323 INFO    MainThread:52672 [wandb_init.py:init():867] starting run threads in backend
2025-06-12 10:31:40,498 INFO    MainThread:52672 [wandb_run.py:_console_start():2456] atexit reg
2025-06-12 10:31:40,498 INFO    MainThread:52672 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2025-06-12 10:31:40,498 INFO    MainThread:52672 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-06-12 10:31:40,498 INFO    MainThread:52672 [wandb_run.py:_redirect():2395] Redirects installed.
2025-06-12 10:31:40,499 INFO    MainThread:52672 [wandb_init.py:init():911] run started, returning control to user process
